Date,US,EU,INDIA,JAPAN,VIX
2022-03-23,4456.240234375,3869.219970703125,17245.650390625,28040.16015625,23.56999969482422
2022-03-24,4520.16015625,3863.389892578125,17222.75,28110.390625,21.670000076293945
2022-03-25,4543.06005859375,3867.72998046875,17153.0,28149.83984375,20.809999465942383
2022-03-28,4575.52001953125,3887.10009765625,17222.0,27943.890625,19.6299991607666
2022-03-29,4631.60009765625,4002.179931640625,17325.30078125,28252.419921875,18.899999618530273
2022-03-30,4602.4501953125,3959.139892578125,17498.25,28027.25,19.329999923706055
2022-03-31,4530.41015625,3902.52001953125,17464.75,27821.4296875,20.559999465942383
2022-04-01,4545.85986328125,3918.679931640625,17670.44921875,27665.98046875,19.6299991607666
2022-04-04,4582.64013671875,3951.1201171875,18053.400390625,27736.470703125,18.56999969482422
2022-04-05,4525.1201171875,3917.85009765625,17957.400390625,27787.98046875,21.030000686645508
2022-04-06,4481.14990234375,3824.68994140625,17807.650390625,27350.30078125,22.100000381469727
2022-04-07,4500.2099609375,3802.010009765625,17639.55078125,26888.5703125,21.549999237060547
2022-04-08,4488.27978515625,3858.3701171875,17784.349609375,26985.80078125,21.15999984741211
2022-04-11,4412.52978515625,3839.6201171875,17674.94921875,26821.51953125,24.3700008392334
2022-04-12,4397.4501953125,3831.469970703125,17530.30078125,26334.98046875,24.260000228881836
2022-04-13,4446.58984375,3827.9599609375,17475.650390625,26843.490234375,21.81999969482422
2022-04-19,4462.2099609375,3830.760009765625,16958.650390625,26985.08984375,21.3700008392334
2022-04-20,4459.4501953125,3896.81005859375,17136.55078125,27217.849609375,20.31999969482422
2022-04-21,4393.66015625,3928.030029296875,17392.599609375,27553.060546875,22.68000030517578
2022-04-22,4271.77978515625,3840.010009765625,17171.94921875,27105.259765625,28.209999084472656
2022-04-25,4296.1201171875,3757.590087890625,16953.94921875,26590.779296875,27.020000457763672
2022-04-26,4175.2001953125,3721.360107421875,17200.80078125,26700.109375,33.52000045776367
2022-04-27,4183.9599609375,3734.639892578125,17038.400390625,26386.630859375,31.600000381469727
2022-04-28,4287.5,3777.02001953125,17245.05078125,26847.900390625,29.989999771118164
2022-05-02,4155.3798828125,3732.43994140625,17069.099609375,26818.529296875,32.34000015258789
2022-05-06,4123.33984375,3629.169921875,16411.25,27003.560546875,30.190000534057617
2022-05-09,3991.239990234375,3526.860107421875,16301.849609375,26319.33984375,34.75
2022-05-10,4001.050048828125,3554.800048828125,16240.0498046875,26167.099609375,32.9900016784668
2022-05-11,3935.179931640625,3647.8701171875,16167.099609375,26213.640625,32.560001373291016
2022-05-12,3930.080078125,3613.429931640625,15808.0,25748.720703125,31.770000457763672
2022-05-13,4023.889892578125,3703.419921875,15782.150390625,26427.650390625,28.8700008392334
2022-05-16,4008.010009765625,3685.340087890625,15842.2998046875,26547.05078125,27.469999313354492
2022-05-17,4088.85009765625,3741.510009765625,16259.2998046875,26659.75,26.100000381469727
2022-05-18,3923.679931640625,3690.739990234375,16240.2998046875,26911.19921875,30.959999084472656
2022-05-19,3900.7900390625,3633.330078125,15809.400390625,26402.83984375,29.350000381469727
2022-05-20,3901.360107421875,3657.030029296875,16266.150390625,26739.029296875,29.43000030517578
2022-05-23,3973.75,3708.389892578125,16214.7001953125,27001.51953125,28.479999542236328
2022-05-24,3941.47998046875,3647.56005859375,16125.150390625,26748.140625,29.450000762939453
2022-05-25,3978.72998046875,3677.10009765625,16025.7998046875,26677.80078125,28.3700008392334
2022-05-27,4158.240234375,3808.860107421875,16352.4501953125,26781.6796875,25.719999313354492
2022-05-31,4132.14990234375,3789.2099609375,16584.55078125,27279.80078125,26.190000534057617
2022-06-01,4101.22998046875,3759.5400390625,16522.75,27457.890625,25.690000534057617
2022-06-02,4176.81982421875,3795.1298828125,16628.0,27413.880859375,24.719999313354492
2022-06-03,4108.5400390625,3783.659912109375,16584.30078125,27761.5703125,24.790000915527344
2022-06-07,4160.68017578125,3806.739990234375,16416.349609375,27943.94921875,24.020000457763672
2022-06-08,4115.77001953125,3788.929931640625,16356.25,28234.2890625,23.959999084472656
2022-06-09,4017.820068359375,3724.449951171875,16478.099609375,28246.529296875,26.09000015258789
2022-06-10,3900.860107421875,3599.199951171875,16201.7998046875,27824.2890625,27.75
2022-06-13,3749.6298828125,3502.5,15774.400390625,26987.439453125,34.02000045776367
2022-06-14,3735.47998046875,3475.179931640625,15732.099609375,26629.859375,32.689998626708984
2022-06-15,3789.989990234375,3532.320068359375,15692.150390625,26326.16015625,29.6200008392334
2022-06-16,3666.77001953125,3427.909912109375,15360.599609375,26431.19921875,32.95000076293945
2022-06-17,3674.840087890625,3438.4599609375,15293.5,25963.0,31.1299991607666
2022-06-21,3764.7900390625,3494.0,15638.7998046875,26246.310546875,30.190000534057617
2022-06-22,3759.889892578125,3464.639892578125,15413.2998046875,26149.55078125,28.950000762939453
2022-06-23,3795.72998046875,3436.2900390625,15556.650390625,26171.25,29.049999237060547
2022-06-24,3911.739990234375,3533.169921875,15699.25,26491.970703125,27.229999542236328
2022-06-27,3900.110107421875,3538.8798828125,15832.0498046875,26871.26953125,26.950000762939453
2022-06-28,3821.550048828125,3549.2900390625,15850.2001953125,27049.470703125,28.360000610351562
2022-06-29,3818.830078125,3514.320068359375,15799.099609375,26804.599609375,28.15999984741211
2022-06-30,3785.3798828125,3454.860107421875,15780.25,26393.0390625,28.709999084472656
2022-07-01,3825.330078125,3448.31005859375,15752.0498046875,25935.619140625,26.700000762939453
2022-07-05,3831.389892578125,3359.830078125,15810.849609375,26423.470703125,27.540000915527344
2022-07-06,3845.080078125,3421.840087890625,15989.7998046875,26107.650390625,26.729999542236328
2022-07-07,3902.6201171875,3488.5,16132.900390625,26490.529296875,26.079999923706055
2022-07-08,3899.3798828125,3506.550048828125,16220.599609375,26517.189453125,24.639999389648438
2022-07-11,3854.429931640625,3471.68994140625,16216.0,26812.30078125,26.170000076293945
2022-07-12,3818.800048828125,3487.050048828125,16058.2998046875,26336.66015625,27.290000915527344
2022-07-13,3801.780029296875,3453.969970703125,15966.650390625,26478.76953125,26.81999969482422
2022-07-14,3790.3798828125,3396.610107421875,15938.650390625,26643.390625,26.399999618530273
2022-07-15,3863.159912109375,3477.199951171875,16049.2001953125,26788.470703125,24.229999542236328
2022-07-19,3936.68994140625,3587.43994140625,16340.5498046875,26961.6796875,24.5
2022-07-20,3959.89990234375,3585.239990234375,16520.849609375,27680.259765625,23.8799991607666
2022-07-21,3998.949951171875,3596.510009765625,16605.25,27803.0,23.110000610351562
2022-07-22,3961.6298828125,3596.489990234375,16719.44921875,27914.66015625,23.030000686645508
2022-07-25,3966.840087890625,3604.159912109375,16631.0,27699.25,23.360000610351562
2022-07-26,3921.050048828125,3575.360107421875,16483.849609375,27655.2109375,24.690000534057617
2022-07-27,4023.610107421875,3607.780029296875,16641.80078125,27715.75,23.239999771118164
2022-07-28,4072.429931640625,3652.199951171875,16929.599609375,27815.48046875,22.329999923706055
2022-07-29,4130.2900390625,3708.10009765625,17158.25,27801.640625,21.329999923706055
2022-08-02,4091.18994140625,3684.6298828125,17345.44921875,27594.73046875,23.93000030517578
2022-08-03,4155.169921875,3732.5400390625,17388.150390625,27741.900390625,21.950000762939453
2022-08-04,4151.93994140625,3754.60009765625,17382.0,27932.19921875,21.440000534057617
2022-08-05,4145.18994140625,3725.389892578125,17397.5,28175.869140625,21.149999618530273
2022-08-08,4140.06005859375,3757.219970703125,17525.099609375,28249.240234375,21.290000915527344
2022-08-10,4210.240234375,3749.35009765625,17534.75,27819.330078125,19.739999771118164
2022-08-12,4280.14990234375,3776.81005859375,17698.150390625,28546.98046875,19.530000686645508
2022-08-16,4305.2001953125,3805.219970703125,17825.25,28868.91015625,19.690000534057617
2022-08-17,4274.0400390625,3756.06005859375,17944.25,29222.76953125,19.899999618530273
2022-08-18,4283.740234375,3777.3798828125,17956.5,28942.140625,19.559999465942383
2022-08-19,4228.47998046875,3730.320068359375,17758.44921875,28930.330078125,20.600000381469727
2022-08-22,4137.990234375,3658.219970703125,17490.69921875,28794.5,23.799999237060547
2022-08-23,4128.72998046875,3652.52001953125,17577.5,28452.75,24.110000610351562
2022-08-24,4140.77001953125,3667.4599609375,17604.94921875,28313.470703125,22.81999969482422
2022-08-25,4199.1201171875,3674.5400390625,17522.44921875,28479.009765625,21.780000686645508
2022-08-26,4057.659912109375,3603.679931640625,17558.900390625,28641.380859375,25.559999465942383
2022-08-29,4030.610107421875,3570.510009765625,17312.900390625,27878.9609375,26.209999084472656
2022-08-30,3986.159912109375,3561.919921875,17759.30078125,28195.580078125,26.209999084472656
2022-09-01,3966.85009765625,3456.699951171875,17542.80078125,27661.470703125,25.559999465942383
2022-09-02,3924.260009765625,3544.3798828125,17539.44921875,27650.83984375,25.469999313354492
2022-09-06,3908.18994140625,3500.139892578125,17655.599609375,27626.509765625,26.90999984741211
2022-09-07,3979.8701171875,3502.090087890625,17624.400390625,27430.30078125,24.639999389648438
2022-09-08,4006.179931640625,3512.3798828125,17798.75,28065.279296875,23.610000610351562
2022-09-09,4067.360107421875,3570.0400390625,17833.349609375,28214.75,22.790000915527344
2022-09-12,4110.41015625,3646.510009765625,17936.349609375,28542.109375,23.8700008392334
2022-09-13,3932.68994140625,3586.179931640625,18070.05078125,28614.630859375,27.270000457763672
2022-09-14,3946.010009765625,3567.56005859375,18003.75,27818.619140625,26.15999984741211
2022-09-15,3901.35009765625,3541.7900390625,17877.400390625,27875.91015625,26.270000457763672
2022-09-16,3873.330078125,3500.409912109375,17530.849609375,27567.650390625,26.299999237060547
2022-09-20,3855.929931640625,3467.090087890625,17816.25,27688.419921875,27.15999984741211
2022-09-21,3789.929931640625,3491.8701171875,17718.349609375,27313.130859375,27.989999771118164
2022-09-22,3757.989990234375,3427.139892578125,17629.80078125,27153.830078125,27.350000381469727
2022-09-26,3655.0400390625,3342.56005859375,17016.30078125,26431.55078125,32.2599983215332
2022-09-27,3647.2900390625,3328.64990234375,17007.400390625,26571.869140625,32.599998474121094
2022-09-28,3719.0400390625,3335.300048828125,16858.599609375,26173.98046875,30.18000030517578
2022-09-29,3640.469970703125,3279.0400390625,16818.099609375,26422.05078125,31.84000015258789
2022-09-30,3585.6201171875,3318.199951171875,17094.349609375,25937.2109375,31.6200008392334
2022-10-03,3678.429931640625,3342.169921875,16887.349609375,26215.7890625,30.100000381469727
2022-10-04,3790.929931640625,3484.47998046875,17274.30078125,26992.2109375,29.06999969482422
2022-10-06,3744.52001953125,3433.449951171875,17331.80078125,27311.30078125,30.520000457763672
2022-10-07,3639.659912109375,3375.4599609375,17314.650390625,27116.109375,31.360000610351562
2022-10-11,3588.840087890625,3340.35009765625,16983.55078125,26401.25,33.630001068115234
2022-10-12,3577.030029296875,3331.530029296875,17123.599609375,26396.830078125,33.56999969482422
2022-10-13,3669.909912109375,3362.39990234375,17014.349609375,26237.419921875,31.940000534057617
2022-10-14,3583.070068359375,3381.72998046875,17185.69921875,27090.759765625,32.02000045776367
2022-10-17,3677.949951171875,3441.639892578125,17311.80078125,26775.7890625,31.3700008392334
2022-10-18,3719.97998046875,3463.830078125,17486.94921875,27156.140625,30.5
2022-10-19,3695.159912109375,3471.239990234375,17512.25,27257.380859375,30.760000228881836
2022-10-20,3665.780029296875,3492.85009765625,17563.94921875,27006.9609375,29.979999542236328
2022-10-21,3752.75,3476.6298828125,17576.30078125,26890.580078125,29.690000534057617
2022-10-24,3797.340087890625,3527.7900390625,17730.75,26974.900390625,29.850000381469727
2022-10-25,3859.110107421875,3585.580078125,17656.349609375,27250.279296875,28.459999084472656
2022-10-27,3807.300048828125,3604.510009765625,17736.94921875,27345.240234375,27.389999389648438
2022-10-28,3901.06005859375,3613.02001953125,17786.80078125,27105.19921875,25.75
2022-10-31,3871.97998046875,3617.5400390625,18012.19921875,27587.4609375,25.8799991607666
2022-11-01,3856.10009765625,3651.02001953125,18145.400390625,27678.919921875,25.809999465942383
2022-11-02,3759.68994140625,3622.010009765625,18082.849609375,27663.390625,25.860000610351562
2022-11-04,3770.550048828125,3688.330078125,18117.150390625,27199.740234375,24.549999237060547
2022-11-07,3806.800048828125,3708.800048828125,18202.80078125,27527.640625,24.350000381469727
2022-11-09,3748.570068359375,3728.030029296875,18157.0,27716.4296875,26.09000015258789
2022-11-10,3956.3701171875,3846.56005859375,18028.19921875,27446.099609375,23.530000686645508
2022-11-11,3992.929931640625,3868.5,18349.69921875,28263.5703125,22.520000457763672
2022-11-14,3957.25,3887.510009765625,18329.150390625,27963.470703125,23.729999542236328
2022-11-15,3991.72998046875,3915.090087890625,18403.400390625,27990.169921875,24.540000915527344
2022-11-16,3958.7900390625,3882.780029296875,18409.650390625,28028.30078125,24.110000610351562
2022-11-17,3946.56005859375,3878.419921875,18343.900390625,27930.5703125,23.93000030517578
2022-11-18,3965.340087890625,3924.840087890625,18307.650390625,27899.76953125,23.1200008392334
2022-11-21,3949.93994140625,3909.280029296875,18159.94921875,27944.7890625,22.360000610351562
2022-11-22,4003.580078125,3929.89990234375,18244.19921875,28115.740234375,21.290000915527344
2022-11-25,4026.1201171875,3962.409912109375,18512.75,28283.029296875,20.5
2022-11-28,3963.93994140625,3935.510009765625,18562.75,28162.830078125,22.209999084472656
2022-11-29,3957.6298828125,3934.43994140625,18618.05078125,28027.83984375,21.889999389648438
2022-11-30,4080.110107421875,3964.719970703125,18758.349609375,27968.990234375,20.579999923706055
2022-12-01,4076.570068359375,3984.5,18812.5,28226.080078125,19.84000015258789
2022-12-02,4071.699951171875,3977.89990234375,18696.099609375,27777.900390625,19.059999465942383
2022-12-05,3998.840087890625,3956.530029296875,18701.05078125,27820.400390625,20.75
2022-12-06,3941.260009765625,3939.18994140625,18642.75,27885.869140625,22.170000076293945
2022-12-07,3933.919921875,3920.89990234375,18560.5,27686.400390625,22.68000030517578
